"Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Product URL","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","Shipping Class","Download File Name","Download File URL Path","Download Limit","Download Expiry","Download Type","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","External URL","Button Text","Purchase Note","Product Status","Enable Reviews","Sort Order","Advanced Google Product Feed - Availability","Advanced Google Product Feed - Condition","Advanced Google Product Feed - Brand","Advanced Google Product Feed - Product Type","Advanced Google Product Feed - Google Product Category","Advanced Google Product Feed - Global Trade Item Number (GTIN)","Advanced Google Product Feed - Manufacturer Part Number (MPN)","Advanced Google Product Feed - Gender","Advanced Google Product Feed - Age Group","Advanced Google Product Feed - Colour","Advanced Google Product Feed - Size","WordPress SEO - Focus Keyword","WordPress SEO - Meta Description","WordPress SEO - SEO Title","WordPress SEO - Google+ Description","WordPress SEO - Facebook Description"
"760079302183","1030","","Variation #602 of Himalayan Dried Apple Slices","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/himalayan-dried-apple-slices-copy/?attribute_size=250+g","","","21/08/2015","21/08/2015","Variation","","No","No","No","600","","","","","","","","","","","","Dehydrates","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","1","","","","","","","","",,,"","","","","",""
"760079302183","1029","","Variation #601 of Himalayan Dried Apple Slices","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/himalayan-dried-apple-slices-copy/?attribute_size=50+g","","","21/08/2015","21/08/2015","Variation","","No","No","No","150","","","","","","","","","","","","Dehydrates","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"","1028","760079302183","Himalayan Dried Apple Slices (Copy)","himalayan-dried-apple-slices-copy","http://sattvicfoods.in/product/himalayan-dried-apple-slices-copy/","http://sattvicfoods.in/product/himalayan-dried-apple-slices-copy/","<h3>Source of our Dried Apple Slices</h3>
Fresh Organically grown Himalayan Apples!
<h3>About our Himalayan Dried Apple Slices</h3>
<ul>
	<li>Dried, sweet, Himalayan apple rings with the skin and totally natural (no preservatives).</li>
	<li>Dried Apples are an excellent source of dietary fiber. One serving provides you with 16% of your needs for the day. After all, there must be some truth to the saying 'An apple a day keeps the doctor away'</li>
	<li>25% of the fiber found in apples is soluble. This type of fiber is believed to help reduce cholesterol.</li>
	<li>These apples have been dehydrated hygienically, under temperatures below 50 degrees maintaining all the nutrients of this Ace fruit.</li>
</ul>
<h3>Ingredients</h3>
Organic Himalayan Apples
<h3>How to use Himalayan Dried Apple Slices?</h3>
<ul>
	<li>Eat as a snack</li>
	<li>Serve with salads</li>
	<li>Combine with muesli</li>
	<li>Bake into desserts</li>
</ul>
<h3>Storage</h3>
Store in a cool, dry place.

&nbsp;

Read more about their health benefits <a href=""http://healthyeating.sfgate.com/dehydrated-apples-healthy-5756.html"">http://healthyeating.sfgate.com/dehydrated-apples-healthy-5756.html</a>

So grab a few bags of this healthy snack, and enjoy the goodness of Himalayan hygienically Dried Apples.

&nbsp;","1kg of Organically grown Himalayan Apples, produces 50g of hygienically solar Dried Apple Slices","21/08/2015","21/08/2015","Variable","Catalog & Search","No","No","No","150","","","","","","","","","","","","Dehydrates","Gluten-free|Raw|Vegan","http://sattvicfoods.in/wp-content/uploads/2015/04/DriedApples.jpg","668|588","Taxable","",,,,"","","Standard","No","","In Stock","No","Yes","","","","","","Trash","Closed","0","","","","","","","","",,,"","Dried Apple","1kg of Organically grown Himalayan Apples, produces 50g of hygienically solar Dried Apple Slices","Himalayan Dried Apple Slices","",""
"760079302183","1027","","Variation #602 of Himalayan Dried Apple Slices","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/himalayan-dried-apple-slices-copy-2/?attribute_size=250+g","","","21/08/2015","21/08/2015","Variation","","No","No","No","600","","","","","","","","","","","","Dehydrates","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","1","","","","","","","","",,,"","","","","",""
"760079302183","1026","","Variation #601 of Himalayan Dried Apple Slices","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/himalayan-dried-apple-slices-copy-2/?attribute_size=50+g","","","21/08/2015","21/08/2015","Variation","","No","No","No","150","","","","","","","","","","","","Dehydrates","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"","1025","760079302183","Himalayan Dried Apple Slices (Copy)","himalayan-dried-apple-slices-copy-2","http://sattvicfoods.in/product/himalayan-dried-apple-slices-copy-2/","http://sattvicfoods.in/product/himalayan-dried-apple-slices-copy-2/","<h3>Source of our Dried Apple Slices</h3>
Fresh Organically grown Himalayan Apples!
<h3>About our Himalayan Dried Apple Slices</h3>
<ul>
	<li>Dried, sweet, Himalayan apple rings with the skin and totally natural (no preservatives).</li>
	<li>Dried Apples are an excellent source of dietary fiber. One serving provides you with 16% of your needs for the day. After all, there must be some truth to the saying 'An apple a day keeps the doctor away'</li>
	<li>25% of the fiber found in apples is soluble. This type of fiber is believed to help reduce cholesterol.</li>
	<li>These apples have been dehydrated hygienically, under temperatures below 50 degrees maintaining all the nutrients of this Ace fruit.</li>
</ul>
<h3>Ingredients</h3>
Organic Himalayan Apples
<h3>How to use Himalayan Dried Apple Slices?</h3>
<ul>
	<li>Eat as a snack</li>
	<li>Serve with salads</li>
	<li>Combine with muesli</li>
	<li>Bake into desserts</li>
</ul>
<h3>Storage</h3>
Store in a cool, dry place.

&nbsp;

Read more about their health benefits <a href=""http://healthyeating.sfgate.com/dehydrated-apples-healthy-5756.html"">http://healthyeating.sfgate.com/dehydrated-apples-healthy-5756.html</a>

So grab a few bags of this healthy snack, and enjoy the goodness of Himalayan hygienically Dried Apples.

&nbsp;","1kg of Organically grown Himalayan Apples, produces 50g of hygienically solar Dried Apple Slices","21/08/2015","21/08/2015","Variable","Catalog & Search","No","No","No","150","","","","","","","","","","","","Dehydrates","Gluten-free|Raw|Vegan","http://sattvicfoods.in/wp-content/uploads/2015/04/DriedApples.jpg","668|588","Taxable","",,,,"","","Standard","No","","In Stock","No","Yes","","","","","","Trash","Closed","0","","","","","","","","",,,"","Dried Apple","1kg of Organically grown Himalayan Apples, produces 50g of hygienically solar Dried Apple Slices","Himalayan Dried Apple Slices","",""
"753807915984","1020","","Variation #1020 of Prime Pressed Cocoa Butter","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/prime-pressed-cocoa-butter/?attribute_size=100+g","","","19/08/2015","19/08/2015","Variation","","No","No","No","300","","","","","","","","","","","","Cocoa","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"753807915984","1019","","Variation #1019 of Prime Pressed Cocoa Butter","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/prime-pressed-cocoa-butter/?attribute_size=500+g","","","19/08/2015","19/08/2015","Variation","","No","No","No","1300","","","","","","","","","","","","Cocoa","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","1","","","","","","","","",,,"","","","","",""
"","1018","753807915984","Prime Pressed Cocoa Butter","prime-pressed-cocoa-butter","http://sattvicfoods.in/product/prime-pressed-cocoa-butter/","http://sattvicfoods.in/product/prime-pressed-cocoa-butter/","","","19/08/2015","19/08/2015","Variable","Catalog & Search","No","No","No","300","","","","","","","","","","","","Cocoa","Gluten-free|Kapha|Oil-free|Salt-free|Vegan","http://sattvicfoods.in/wp-content/uploads/2015/08/Cocoa-Butter.jpg",,"Taxable","",,,,"","","Standard","No","","In Stock","No","Yes","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"881314327300","1004","","Variation #1004 of Himalayan Dried Apple Slices (Copy)","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/dried-black-currants/?attribute_size=500+g","","","16/08/2015","16/08/2015","Variation","","No","No","No","500","","","","","","","","","","","","Dehydrates","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","1","","","","","","","","",,,"","","","","",""
